net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net3(),1,2672.900635,2672.900391,0.001409,0.014,0.014,0.100
Net3(),200,160.101318,159.393234,7.080849,0.012,2.421,0.100
Net3(),400,5.053120,4.321451,7.316689,0.009,4.906,0.100
Net3(),600,2.633464,2.026288,6.071755,0.016,7.634,0.100
Net3(),800,1.757700,1.242678,5.150223,0.012,10.530,0.100
Net3(),1000,1.201307,0.742652,4.586556,0.014,13.028,0.100
Net3(),1200,1.225865,0.907191,3.186744,0.013,15.489,0.100
Net3(),1400,0.686524,0.415704,2.708196,0.010,17.949,0.100
Net3(),1600,0.708393,0.495212,2.131809,0.014,20.663,0.100
Net3(),1800,0.539605,0.339042,2.005629,0.015,23.592,0.100
Net3(),2000,0.381261,0.205459,1.758013,0.011,26.016,0.100
Net3(),2200,0.858296,0.687719,1.705769,0.013,28.468,0.100
Net3(),2400,0.353888,0.203752,1.501361,0.015,30.933,0.100
Net3(),2600,0.324450,0.174382,1.500676,0.015,33.548,0.100
Net3(),2800,0.628289,0.503643,1.246462,0.014,36.533,0.100
Net3(),3000,0.333639,0.203890,1.297486,0.013,39.543,0.100
Net3(),3200,0.433609,0.314410,1.191997,0.010,42.096,0.100
Net3(),3400,0.749932,0.617896,1.320353,0.010,44.044,0.100
Net3(),3600,0.462735,0.346085,1.166502,0.010,45.980,0.100
Net3(),3800,1.413401,1.297347,1.160540,0.009,48.474,0.100
Net3(),4000,0.319545,0.206301,1.132432,0.009,50.376,0.100
Net3(),4200,0.511165,0.403369,1.077963,0.009,52.293,0.100
Net3(),4400,1.116122,1.005893,1.102285,0.009,54.195,0.100
Net3(),4600,0.232864,0.131694,1.011706,0.009,56.111,0.100
Net3(),4800,0.602528,0.497489,1.050385,0.009,58.038,0.100
Net3(),5000,0.270703,0.182967,0.877359,0.018,60.435,0.100
Net3(),5200,0.441828,0.344840,0.969880,0.009,62.398,0.100
Net3(),5400,0.289292,0.208608,0.806840,0.009,64.319,0.100
Net3(),5600,1.788422,1.697882,0.905396,0.009,66.243,0.100
Net3(),5800,0.198441,0.115279,0.831625,0.009,68.156,0.100
Net3(),6000,0.154276,0.078531,0.757443,0.009,70.067,0.100
Net3(),6200,0.279629,0.203384,0.762448,0.015,72.458,0.100
Net3(),6400,0.183732,0.113526,0.702064,0.009,74.417,0.100
Net3(),6600,0.134739,0.054472,0.802673,0.009,76.323,0.100
Net3(),6800,0.218496,0.141927,0.765689,0.009,78.278,0.100
Net3(),7000,0.131625,0.057991,0.736344,0.009,80.189,0.100
Net3(),7200,0.848969,0.774750,0.742188,0.009,82.116,0.100
Net3(),7400,0.191827,0.122324,0.695032,0.014,84.502,0.100
Net3(),7600,0.798320,0.729642,0.686776,0.010,86.500,0.100
Net3(),7800,0.496841,0.429273,0.675679,0.009,88.418,0.100
Net3(),8000,1.509452,1.441800,0.676520,0.009,90.350,0.100
Net3(),8200,0.104130,0.036149,0.679816,0.009,92.294,0.100
Net3(),8400,0.393175,0.331657,0.615172,0.010,94.194,0.100
Net3(),8600,0.104147,0.050791,0.533559,0.013,96.533,0.100
Net3(),8800,0.826661,0.767714,0.589469,0.009,98.543,0.100
Net3(),9000,0.107913,0.058041,0.498713,0.009,100.454,0.100
Net3(),9200,0.112711,0.059860,0.528513,0.009,102.368,0.100
Net3(),9400,0.736746,0.686203,0.505429,0.010,104.532,0.100
Net3(),9600,0.131202,0.083168,0.480343,0.010,106.452,0.100
Net3(),9800,0.102156,0.058879,0.432765,0.009,108.913,0.100
Net3(),10000,0.670841,0.625562,0.452784,0.010,110.828,0.100
Net3(),10200,0.091848,0.052028,0.398203,0.009,112.756,0.100
Net3(),10400,0.175672,0.133757,0.419148,0.009,114.672,0.100
Net3(),10600,0.135867,0.087897,0.479704,0.016,116.584,0.100
Net3(),10800,0.345974,0.304440,0.415340,0.009,118.485,0.100
Net3(),11000,0.065948,0.027334,0.386140,0.010,120.933,0.100
Net3(),11200,0.100909,0.056555,0.443538,0.009,122.828,0.100
Net3(),11400,0.092029,0.053225,0.388043,0.010,124.758,0.100
Net3(),11600,0.060070,0.027355,0.327148,0.009,126.674,0.100
Net3(),11800,0.151925,0.109922,0.420028,0.009,128.820,0.100
Net3(),12000,0.072974,0.039115,0.338586,0.009,130.730,0.100
Net3(),12200,0.076139,0.039199,0.369398,0.009,133.146,0.100
Net3(),12400,0.644682,0.612375,0.323062,0.009,135.067,0.100
Net3(),12600,0.356609,0.323006,0.336033,0.009,137.012,0.100
Net3(),12800,0.151509,0.118839,0.326703,0.009,138.933,0.100
Net3(),13000,0.086848,0.051315,0.355326,0.009,140.868,0.100
Net3(),13200,0.326131,0.295888,0.302437,0.010,142.782,0.100
Net3(),13400,0.089034,0.054656,0.343781,0.010,145.229,0.100
Net3(),13600,1.166570,1.135437,0.311334,0.009,147.162,0.100
Net3(),13800,0.064384,0.037246,0.271378,0.009,149.082,0.100
Net3(),14000,0.093893,0.063877,0.300159,0.009,151.012,0.100
Net3(),14200,0.135815,0.107067,0.287476,0.009,152.917,0.100
Net3(),14400,0.055308,0.028416,0.268917,0.009,154.824,0.100
Net3(),14600,0.088077,0.059997,0.280804,0.009,157.286,0.100
Net3(),14800,0.056922,0.029376,0.275461,0.010,159.218,0.100
Net3(),15000,0.081999,0.060673,0.213258,0.009,161.129,0.100
Net3(),15200,0.918854,0.894984,0.238694,0.009,163.034,0.100
Net3(),15400,0.079545,0.054683,0.248619,0.009,164.964,0.100
Net3(),15600,0.255211,0.230548,0.246627,0.009,166.929,0.100
Net3(),15800,0.073485,0.050823,0.226623,0.009,169.364,0.100
Net3(),16000,0.093165,0.068754,0.244115,0.009,171.280,0.100
Net3(),16200,0.062375,0.040943,0.214329,0.009,173.200,0.100
Net3(),16400,0.069935,0.050968,0.189664,0.009,175.102,0.100
Net3(),16600,0.535923,0.515779,0.201433,0.009,177.032,0.100
Net3(),16800,0.067608,0.046220,0.213876,0.009,178.959,0.100
Net3(),17000,0.185425,0.163565,0.218598,0.013,181.382,0.100
Net3(),17200,0.071608,0.052616,0.189919,0.010,183.308,0.100
Net3(),17400,0.045687,0.024876,0.208112,0.009,185.208,0.100
Net3(),17600,0.052345,0.035133,0.172114,0.009,187.127,0.100
Net3(),17800,0.041999,0.025367,0.166311,0.009,189.038,0.100
Net3(),18000,0.082077,0.063466,0.186102,0.009,190.965,0.100
Net3(),18200,0.078023,0.057647,0.203765,0.015,193.374,0.100
Net3(),18400,0.091630,0.074338,0.172922,0.009,195.328,0.100
Net3(),18600,0.033203,0.015705,0.174981,0.009,197.274,0.100
Net3(),18800,0.041274,0.024657,0.166173,0.010,199.186,0.100
Net3(),19000,0.072065,0.053061,0.190042,0.009,201.125,0.100
Net3(),19200,0.064585,0.048997,0.155872,0.010,203.026,0.100
Net3(),19400,0.043651,0.025108,0.185439,0.015,205.411,0.100
Net3(),19600,0.027274,0.009880,0.173937,0.011,207.431,0.100
Net3(),19800,0.052550,0.035612,0.169381,0.009,209.353,0.100
Net3(),20000,0.035926,0.021937,0.139886,0.009,211.281,0.100
Net3(),20200,0.059201,0.042711,0.164898,0.014,213.195,0.100
Net3(),20400,0.059387,0.042049,0.173380,0.009,215.090,0.100
Net3(),20600,0.202215,0.188445,0.137705,0.015,217.499,0.100
Net3(),20800,0.042662,0.026715,0.159467,0.009,219.480,0.100
Net3(),21000,0.047497,0.032550,0.149473,0.009,221.367,0.100
Net3(),21200,0.055316,0.042317,0.129982,0.009,223.295,0.100
Net3(),21400,0.088836,0.073786,0.150495,0.009,225.218,0.100
Net3(),21600,0.038149,0.023318,0.148313,0.009,227.165,0.100
