net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net1,1,2673.071533,2673.062256,0.009305,0.776,0.776,1.000
Net1,200,124.747040,118.692909,6.054130,0.008,2.811,1.000
Net1,400,12.375091,6.198748,6.176342,0.008,4.425,1.000
Net1,600,7.867239,3.098109,4.769130,0.008,6.025,1.000
Net1,800,7.406665,2.678066,4.728600,0.008,7.654,1.000
Net1,1000,6.189638,1.837064,4.352574,0.008,9.259,1.000
Net1,1200,5.252410,1.957461,3.294950,0.008,10.889,1.000
Net1,1400,4.059787,1.306020,2.753767,0.029,13.434,1.000
Net1,1600,3.466358,1.228391,2.237967,0.008,15.432,1.000
Net1,1800,2.941758,0.819882,2.121876,0.008,17.051,1.000
Net1,2000,2.573506,0.725008,1.848498,0.008,18.664,1.000
Net1,2200,2.482095,0.685424,1.796671,0.008,20.324,1.000
Net1,2400,2.091806,0.552690,1.539116,0.008,21.969,1.000
Net1,2600,1.946199,0.429671,1.516527,0.008,23.585,1.000
Net1,2800,1.588889,0.325757,1.263132,0.010,25.389,1.000
Net1,3000,1.546663,0.379914,1.166749,0.008,27.422,1.000
Net1,3200,1.385807,0.312029,1.073778,0.008,29.266,1.000
Net1,3400,1.332416,0.229259,1.103157,0.008,30.882,1.000
Net1,3600,1.229453,0.246290,0.983163,0.008,32.523,1.000
Net1,3800,1.126371,0.217495,0.908877,0.008,34.123,1.000
Net1,4000,1.004853,0.211987,0.792866,0.008,35.731,1.000
Net1,4200,0.898007,0.157789,0.740218,0.010,37.550,1.000
Net1,4400,0.970845,0.254280,0.716566,0.008,39.431,1.000
Net1,4600,0.798339,0.191414,0.606925,0.008,41.064,1.000
Net1,4800,0.751093,0.158944,0.592149,0.008,42.673,1.000
Net1,5000,0.650800,0.178075,0.472725,0.008,44.306,1.000
Net1,5200,0.696985,0.196547,0.500438,0.008,45.925,1.000
Net1,5400,0.552397,0.165268,0.387128,0.008,47.523,1.000
Net1,5600,0.539796,0.138775,0.401021,0.010,49.303,1.000
Net1,5800,0.466998,0.122258,0.344741,0.008,51.285,1.000
Net1,6000,0.404725,0.108803,0.295922,0.008,52.895,1.000
Net1,6200,0.515671,0.223025,0.292646,0.008,54.493,1.000
Net1,6400,0.378162,0.115202,0.262960,0.008,56.114,1.000
Net1,6600,0.422653,0.144954,0.277699,0.008,57.735,1.000
Net1,6800,0.380918,0.124355,0.256563,0.008,59.358,1.000
Net1,7000,0.369269,0.133489,0.235780,0.012,61.099,1.000
Net1,7200,0.363636,0.126401,0.237235,0.008,63.094,1.000
Net1,7400,0.346083,0.136497,0.209586,0.008,64.705,1.000
Net1,7600,0.295308,0.089299,0.206009,0.008,66.315,1.000
Net1,7800,0.326663,0.132970,0.193693,0.009,67.942,1.000
Net1,8000,0.311127,0.119838,0.191289,0.008,69.544,1.000
