net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net7(),1,2597.009766,2596.999512,0.010366,0.801,0.801,1.000
Net7(),200,9.228879,4.392432,4.836447,0.011,3.141,1.000
Net7(),400,3.265466,1.353567,1.911899,0.014,5.586,1.000
Net7(),600,2.474355,1.131443,1.342912,0.011,8.290,1.000
Net7(),800,1.782398,0.687732,1.094665,0.011,10.580,1.000
Net7(),1000,1.916433,1.028621,0.887812,0.011,12.881,1.000
Net7(),1200,1.338353,0.630367,0.707986,0.011,15.190,1.000
Net7(),1400,0.789954,0.224435,0.565519,0.014,17.680,1.000
Net7(),1600,1.345847,0.865044,0.480803,0.011,20.352,1.000
Net7(),1800,0.894918,0.524162,0.370756,0.011,22.647,1.000
Net7(),2000,0.486844,0.159088,0.327756,0.011,24.899,1.000
Net7(),2200,0.401040,0.139681,0.261359,0.011,27.190,1.000
Net7(),2400,0.827439,0.594809,0.232630,0.014,29.620,1.000
Net7(),2600,0.346064,0.152764,0.193299,0.012,32.326,1.000
Net7(),2800,0.330376,0.152597,0.177778,0.011,34.601,1.000
Net7(),3000,0.529116,0.383862,0.145254,0.013,36.904,1.000
Net7(),3200,0.259443,0.130796,0.128647,0.011,39.189,1.000
Net7(),3400,0.201654,0.075359,0.126295,0.014,41.581,1.000
Net7(),3600,0.209804,0.080051,0.129753,0.012,44.287,1.000
Net7(),3800,0.188448,0.081915,0.106533,0.011,46.698,1.000
Net7(),4000,0.170003,0.062832,0.107171,0.012,49.019,1.000
Net7(),4200,0.166513,0.069951,0.096563,0.013,51.333,1.000
Net7(),4400,0.422761,0.329615,0.093146,0.015,54.123,1.000
Net7(),4600,0.138993,0.053969,0.085024,0.011,56.988,1.000
Net7(),4800,0.161971,0.073539,0.088432,0.011,59.472,1.000
Net7(),5000,0.183799,0.099341,0.084458,0.012,61.816,1.000
Net7(),5200,0.134881,0.054184,0.080697,0.011,64.199,1.000
Net7(),5400,0.119539,0.041103,0.078437,0.011,68.005,1.000
Net7(),5600,0.120709,0.047353,0.073356,0.013,70.358,1.000
Net7(),5800,0.120889,0.047166,0.073723,0.011,72.635,1.000
Net7(),6000,0.120104,0.049840,0.070264,0.011,74.919,1.000
Net7(),6200,0.115612,0.050028,0.065585,0.011,77.228,1.000
Net7(),6400,0.105446,0.040127,0.065319,0.011,80.023,1.000
Net7(),6600,0.095532,0.037046,0.058486,0.011,82.318,1.000
Net7(),6800,0.108749,0.042669,0.066079,0.011,84.611,1.000
Net7(),7000,0.095017,0.033875,0.061142,0.011,86.907,1.000
Net7(),7200,0.089153,0.026391,0.062762,0.011,89.226,1.000
Net7(),7400,0.092820,0.029178,0.063642,0.011,92.053,1.000
Net7(),7600,0.094059,0.035933,0.058127,0.011,94.357,1.000
Net7(),7800,0.079955,0.028014,0.051941,0.011,96.660,1.000
Net7(),8000,0.079790,0.026892,0.052899,0.011,98.975,1.000
Net7(),8200,0.075630,0.024741,0.050890,0.011,101.286,1.000
Net7(),8400,0.084491,0.025829,0.058663,0.011,104.137,1.000
Net7(),8600,0.086693,0.030469,0.056224,0.011,106.416,1.000
Net7(),8800,0.074730,0.023323,0.051407,0.017,108.737,1.000
Net7(),9000,0.072095,0.021367,0.050728,0.011,111.054,1.000
Net7(),9200,0.079923,0.029538,0.050385,0.011,113.355,1.000
Net7(),9400,0.075770,0.024664,0.051107,0.011,116.191,1.000
Net7(),9600,0.071380,0.019456,0.051925,0.011,118.476,1.000
Net7(),9800,0.071347,0.025036,0.046311,0.011,120.752,1.000
Net7(),10000,0.076407,0.023158,0.053249,0.011,123.053,1.000
