net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net11(),1,0.018887,0.001000,0.017887,0.023,0.023,1.000
Net11(),200,0.883441,0.354109,0.529332,0.020,4.030,1.000
Net11(),400,0.516467,0.128606,0.387862,0.025,8.207,1.000
Net11(),600,0.409067,0.096083,0.312985,0.019,12.540,1.000
Net11(),800,0.347578,0.084779,0.262799,0.019,16.524,1.000
Net11(),1000,0.284116,0.081984,0.202133,0.033,20.861,1.000
Net11(),1200,0.217992,0.044538,0.173453,0.019,25.076,1.000
Net11(),1400,0.205840,0.062960,0.142880,0.019,29.065,1.000
Net11(),1600,1.839173,1.697244,0.141929,0.021,33.671,1.000
Net11(),1800,0.303925,0.196836,0.107088,0.019,37.650,1.000
Net11(),2000,0.384880,0.283245,0.101635,0.019,41.629,1.000
Net11(),2200,0.364653,0.269235,0.095417,0.020,46.129,1.000
Net11(),2400,0.797336,0.718695,0.078641,0.019,50.151,1.000
Net11(),2600,0.177808,0.108628,0.069180,0.019,54.094,1.000
Net11(),2800,1.201377,1.134668,0.066709,0.019,58.649,1.000
Net11(),3000,0.204222,0.148868,0.055354,0.019,62.618,1.000
Net11(),3200,2.255702,2.204848,0.050854,0.020,66.619,1.000
Net11(),3400,3.418176,3.350598,0.067578,0.019,71.129,1.000
Net11(),3600,0.800892,0.748719,0.052172,0.019,75.154,1.000
Net11(),3800,0.182510,0.136199,0.046311,0.019,79.194,1.000
Net11(),4000,0.221434,0.170242,0.051192,0.019,83.811,1.000
Net11(),4200,2.919294,2.873556,0.045738,0.020,87.813,1.000
Net11(),4400,1.209106,1.172936,0.036170,0.031,91.955,1.000
Net11(),4600,0.072625,0.036109,0.036516,0.019,96.432,1.000
Net11(),4800,0.366529,0.319227,0.047301,0.023,100.409,1.000
Net11(),5000,0.170941,0.140298,0.030643,0.024,104.663,1.000
Net11(),5200,21.888004,21.840580,0.047424,0.019,108.967,1.000
Net11(),5400,0.068442,0.023862,0.044581,0.019,112.963,1.000
Net11(),5600,0.951411,0.917372,0.034039,0.029,117.343,1.000
Net11(),5800,0.325527,0.299539,0.025988,0.019,121.497,1.000
Net11(),6000,0.291999,0.260814,0.031185,0.019,125.471,1.000
Net11(),6200,0.682040,0.648930,0.033111,0.025,129.974,1.000
Net11(),6400,0.414694,0.389231,0.025463,0.020,133.952,1.000
Net11(),6600,0.168564,0.138530,0.030034,0.020,137.975,1.000
Net11(),6800,0.864694,0.840945,0.023749,0.019,142.512,1.000
Net11(),7000,0.042941,0.018681,0.024260,0.019,146.497,1.000
Net11(),7200,0.095582,0.070020,0.025563,0.020,150.481,1.000
Net11(),7400,1.417669,1.381773,0.035896,0.019,155.038,1.000
Net11(),7600,0.155992,0.135460,0.020532,0.019,158.998,1.000
Net11(),7800,0.261375,0.242374,0.019001,0.019,163.057,1.000
Net11(),8000,0.144047,0.117309,0.026738,0.020,167.602,1.000
Net11(),8200,0.139600,0.122880,0.016719,0.019,171.603,1.000
Net11(),8400,0.088675,0.063131,0.025544,0.019,175.563,1.000
Net11(),8600,0.475951,0.456981,0.018970,0.019,180.080,1.000
Net11(),8800,0.178920,0.159788,0.019132,0.019,184.083,1.000
Net11(),9000,0.436814,0.409042,0.027772,0.025,188.193,1.000
Net11(),9200,0.487454,0.471401,0.016053,0.021,192.609,1.000
Net11(),9400,0.058506,0.041661,0.016845,0.021,196.610,1.000
Net11(),9600,0.071943,0.053576,0.018367,0.024,200.882,1.000
Net11(),9800,1.283693,1.261589,0.022104,0.033,205.164,1.000
Net11(),10000,0.445607,0.428703,0.016904,0.019,209.128,1.000
Net11(),10200,0.265036,0.244745,0.020291,0.031,213.704,1.000
Net11(),10400,1.232106,1.219773,0.012333,0.019,217.690,1.000
Net11(),10600,0.027143,0.013117,0.014026,0.019,221.650,1.000
Net11(),10800,0.103923,0.089770,0.014153,0.019,226.192,1.000
Net11(),11000,0.345263,0.328349,0.016914,0.019,230.198,1.000
Net11(),11200,0.047543,0.032806,0.014737,0.019,234.190,1.000
Net11(),11400,0.034820,0.020791,0.014029,0.019,238.759,1.000
Net11(),11600,0.033035,0.017186,0.015849,0.021,242.777,1.000
