net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net7(),1,2401.910889,2401.900635,0.010366,0.791,0.791,1.000
Net7(),200,394.045502,375.869415,18.176073,0.011,4.056,1.000
Net7(),400,30.773981,24.200867,6.573114,0.011,6.859,1.000
Net7(),600,5.999309,3.609894,2.389415,0.011,9.158,1.000
Net7(),800,4.755150,2.822344,1.932806,0.011,11.496,1.000
Net7(),1000,2.611363,1.384095,1.227268,0.013,13.782,1.000
Net7(),1200,2.072532,1.007596,1.064937,0.011,16.076,1.000
Net7(),1400,2.962398,2.045835,0.916564,0.020,19.871,1.000
Net7(),1600,1.548282,0.693928,0.854354,0.011,22.780,1.000
Net7(),1800,1.781918,1.036603,0.745315,0.011,25.832,1.000
Net7(),2000,1.702916,1.075070,0.627846,0.016,28.828,1.000
Net7(),2200,2.789923,2.187848,0.602076,0.012,31.574,1.000
Net7(),2400,1.133371,0.541891,0.591480,0.011,33.888,1.000
Net7(),2600,1.385809,0.848652,0.537156,0.011,36.182,1.000
Net7(),2800,1.746845,1.275775,0.471070,0.011,38.473,1.000
Net7(),3000,0.675688,0.257956,0.417732,0.018,40.904,1.000
Net7(),3200,0.885438,0.467875,0.417563,0.011,43.625,1.000
Net7(),3400,0.675425,0.253989,0.421436,0.011,45.893,1.000
Net7(),3600,0.738678,0.364347,0.374331,0.011,48.171,1.000
Net7(),3800,0.657297,0.316598,0.340700,0.011,50.454,1.000
Net7(),4000,0.611450,0.270563,0.340888,0.014,52.802,1.000
Net7(),4200,0.522697,0.209390,0.313307,0.011,55.538,1.000
Net7(),4400,0.508369,0.226132,0.282237,0.011,57.815,1.000
Net7(),4600,0.603151,0.325284,0.277868,0.013,60.078,1.000
Net7(),4800,0.456724,0.203111,0.253613,0.011,62.344,1.000
Net7(),5000,0.422815,0.165570,0.257245,0.011,64.640,1.000
Net7(),5200,0.379106,0.127742,0.251364,0.011,67.466,1.000
Net7(),5400,0.373419,0.165770,0.207649,0.011,69.733,1.000
Net7(),5600,0.375072,0.168919,0.206152,0.011,71.999,1.000
Net7(),5800,0.378231,0.169638,0.208593,0.011,74.259,1.000
Net7(),6000,0.398693,0.200122,0.198571,0.011,76.517,1.000
Net7(),6200,0.320289,0.122576,0.197714,0.011,79.309,1.000
Net7(),6400,0.263236,0.085680,0.177556,0.011,81.576,1.000
Net7(),6600,0.263795,0.094064,0.169731,0.011,83.812,1.000
Net7(),6800,0.294010,0.117167,0.176843,0.012,86.069,1.000
Net7(),7000,0.273395,0.103994,0.169400,0.011,88.353,1.000
Net7(),7200,0.257515,0.098679,0.158835,0.012,91.191,1.000
Net7(),7400,0.290535,0.144808,0.145726,0.011,93.499,1.000
Net7(),7600,0.227955,0.084059,0.143896,0.011,96.217,1.000
Net7(),7800,0.207217,0.069334,0.137883,0.011,98.494,1.000
Net7(),8000,0.262638,0.115492,0.147146,0.011,100.755,1.000
Net7(),8200,0.233101,0.093982,0.139118,0.011,103.542,1.000
Net7(),8400,0.216312,0.094020,0.122292,0.011,105.995,1.000
Net7(),8600,0.253942,0.099018,0.154924,0.011,108.250,1.000
Net7(),8800,0.217213,0.070129,0.147084,0.011,110.512,1.000
Net7(),9000,0.195125,0.070633,0.124491,0.011,112.759,1.000
Net7(),9200,0.612280,0.484228,0.128052,0.011,116.260,1.000
Net7(),9400,0.202009,0.055829,0.146180,0.011,118.550,1.000
Net7(),9600,0.204944,0.057199,0.147745,0.011,120.812,1.000
Net7(),9800,0.218802,0.077493,0.141309,0.011,123.098,1.000
Net7(),10000,0.194783,0.066505,0.128277,0.019,125.478,1.000
