net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net11(),1,2400.819336,2400.816162,0.003235,0.803,0.803,1.000
Net11(),200,75.183975,67.692101,7.491879,0.019,4.838,1.000
Net11(),400,9.947155,7.364186,2.582969,0.033,9.255,1.000
Net11(),600,5.263852,3.579582,1.684269,0.019,13.186,1.000
Net11(),800,10.499805,9.036625,1.463181,0.020,17.057,1.000
Net11(),1000,6.854872,5.925113,0.929759,0.019,21.503,1.000
Net11(),1200,2.186628,1.385925,0.800703,0.019,25.646,1.000
Net11(),1400,1.768037,1.079800,0.688238,0.020,30.006,1.000
Net11(),1600,1.479063,0.865339,0.613724,0.019,34.476,1.000
Net11(),1800,1.351745,0.790594,0.561151,0.018,38.340,1.000
Net11(),2000,1.677708,1.256864,0.420844,0.019,42.233,1.000
Net11(),2200,2.290916,1.895415,0.395501,0.021,46.688,1.000
Net11(),2400,1.118903,0.712892,0.406010,0.020,50.561,1.000
Net11(),2600,4.603669,4.228558,0.375111,0.019,54.470,1.000
Net11(),2800,2.207874,1.898183,0.309692,0.019,58.907,1.000
Net11(),3000,0.902540,0.598346,0.304195,0.019,62.903,1.000
Net11(),3200,1.160900,0.875463,0.285437,0.019,66.805,1.000
Net11(),3400,2.926152,2.665501,0.260651,0.019,71.262,1.000
Net11(),3600,26.925323,26.454094,0.471229,0.022,75.121,1.000
Net11(),3800,0.638311,0.401110,0.237201,0.019,78.997,1.000
Net11(),4000,1.759432,1.496030,0.263402,0.020,83.488,1.000
Net11(),4200,0.499294,0.283568,0.215726,0.028,87.384,1.000
Net11(),4400,0.504467,0.315117,0.189350,0.019,91.335,1.000
Net11(),4600,0.619574,0.418766,0.200808,0.019,95.872,1.000
Net11(),4800,0.548130,0.395447,0.152683,0.018,99.784,1.000
Net11(),5000,3.599428,3.440009,0.159419,0.034,103.773,1.000
Net11(),5200,3.381021,3.197386,0.183636,0.020,108.155,1.000
Net11(),5400,4.355413,4.226441,0.128972,0.019,112.135,1.000
Net11(),5600,2.823489,2.695949,0.127540,0.025,116.305,1.000
Net11(),5800,0.535846,0.407604,0.128242,0.019,120.579,1.000
Net11(),6000,2.130626,2.003985,0.126641,0.019,124.564,1.000
Net11(),6200,1.240870,1.116143,0.124727,0.023,128.809,1.000
Net11(),6400,0.193922,0.096952,0.096970,0.019,132.944,1.000
Net11(),6600,4.838560,4.727103,0.111457,0.019,136.832,1.000
Net11(),6800,0.320087,0.222231,0.097855,0.030,141.165,1.000
Net11(),7000,0.662910,0.562642,0.100267,0.020,145.244,1.000
Net11(),7200,1.429543,1.330867,0.098676,0.019,149.168,1.000
Net11(),7400,0.663387,0.583952,0.079435,0.031,153.619,1.000
Net11(),7600,0.341771,0.265865,0.075906,0.019,157.531,1.000
Net11(),7800,0.304368,0.212012,0.092356,0.019,161.467,1.000
Net11(),8000,0.511783,0.438288,0.073495,0.019,165.911,1.000
Net11(),8200,0.922846,0.859134,0.063712,0.019,169.771,1.000
Net11(),8400,0.150981,0.085483,0.065497,0.020,173.657,1.000
Net11(),8600,3.587357,3.488846,0.098512,0.019,178.229,1.000
Net11(),8800,0.333101,0.267130,0.065971,0.019,182.193,1.000
Net11(),9000,0.217038,0.155466,0.061572,0.019,186.090,1.000
Net11(),9200,0.534530,0.480281,0.054249,0.019,190.555,1.000
Net11(),9400,1.658846,1.590606,0.068239,0.021,194.450,1.000
Net11(),9600,2.523749,2.460869,0.062880,0.019,198.388,1.000
Net11(),9800,0.389397,0.334138,0.055258,0.019,202.910,1.000
Net11(),10000,1.411562,1.363330,0.048232,0.019,206.864,1.000
Net11(),10200,0.176429,0.120746,0.055683,0.022,210.843,1.000
Net11(),10400,0.494497,0.449059,0.045438,0.019,215.319,1.000
Net11(),10600,0.176386,0.121760,0.054626,0.019,219.201,1.000
Net11(),10800,0.440404,0.401864,0.038540,0.019,223.096,1.000
Net11(),11000,2.048310,1.990931,0.057379,0.020,227.575,1.000
Net11(),11200,0.761956,0.715185,0.046771,0.019,231.521,1.000
Net11(),11400,0.466893,0.422459,0.044434,0.019,235.439,1.000
Net11(),11600,1.558156,1.489466,0.068690,0.019,239.916,1.000
Net11(),11800,0.105263,0.065864,0.039399,0.019,244.043,1.000
Net11(),12000,2.609898,2.571529,0.038369,0.025,248.058,1.000
Net11(),12200,0.112531,0.073228,0.039303,0.018,252.454,1.000
Net11(),12400,2.045546,2.003350,0.042196,0.020,256.664,1.000
Net11(),12600,0.108972,0.073330,0.035642,0.028,261.015,1.000
Net11(),12800,0.669039,0.625492,0.043547,0.032,265.277,1.000
Net11(),13000,1.359405,1.320158,0.039247,0.020,269.244,1.000
Net11(),13200,0.204470,0.169719,0.034750,0.033,273.662,1.000
Net11(),13400,0.403403,0.368079,0.035324,0.019,277.649,1.000
Net11(),13600,0.217278,0.185074,0.032204,0.019,281.567,1.000
Net11(),13800,0.266271,0.237483,0.028788,0.019,286.180,1.000
Net11(),14000,0.169021,0.134361,0.034660,0.020,290.179,1.000
Net11(),14200,0.085783,0.058839,0.026945,0.020,294.248,1.000
Net11(),14400,0.391915,0.360221,0.031694,0.019,298.844,1.000
Net11(),14600,0.330253,0.288678,0.041575,0.019,302.894,1.000
Net11(),14800,0.078187,0.053650,0.024537,0.019,306.875,1.000
Net11(),15000,0.120128,0.084809,0.035319,0.020,311.457,1.000
Net11(),15200,0.122813,0.100640,0.022173,0.019,315.505,1.000
Net11(),15400,0.326795,0.302901,0.023894,0.020,319.548,1.000
Net11(),15600,0.071448,0.049146,0.022303,0.023,324.145,1.000
Net11(),15800,0.163803,0.142863,0.020940,0.023,328.122,1.000
Net11(),16000,0.116858,0.091797,0.025061,0.019,332.160,1.000
Net11(),16200,0.210635,0.189935,0.020700,0.019,336.642,1.000
Net11(),16400,0.451825,0.428563,0.023262,0.019,340.565,1.000
Net11(),16600,0.105998,0.082377,0.023620,0.027,344.641,1.000
Net11(),16800,1.818770,1.784231,0.034538,0.020,349.036,1.000
Net11(),17000,0.095814,0.076616,0.019198,0.019,352.982,1.000
Net11(),17200,0.120502,0.099786,0.020716,0.030,357.130,1.000
Net11(),17400,0.403881,0.382936,0.020945,0.019,361.498,1.000
Net11(),17600,0.129690,0.109136,0.020554,0.019,365.430,1.000
Net11(),17800,1.662272,1.628454,0.033818,0.024,369.679,1.000
Net11(),18000,0.044453,0.025441,0.019011,0.019,373.838,1.000
Net11(),18200,0.380892,0.364059,0.016833,0.019,377.771,1.000
Net11(),18400,0.054274,0.036207,0.018067,0.029,382.151,1.000
Net11(),18600,0.285192,0.268359,0.016833,0.019,386.157,1.000
Net11(),18800,0.052116,0.032456,0.019660,0.021,390.076,1.000
Net11(),19000,0.040296,0.025474,0.014823,0.020,394.676,1.000
Net11(),19200,0.208185,0.191325,0.016861,0.022,398.639,1.000
Net11(),19400,0.523887,0.504968,0.018919,0.033,402.620,1.000
Net11(),19600,0.656251,0.640729,0.015522,0.020,407.164,1.000
Net11(),19800,0.860040,0.843672,0.016368,0.019,411.155,1.000
Net11(),20000,0.464302,0.449530,0.014772,0.024,415.102,1.000
Net11(),20200,0.127162,0.112548,0.014614,0.019,419.563,1.000
Net11(),20400,0.433226,0.418358,0.014868,0.020,423.603,1.000
Net11(),20600,0.028828,0.017050,0.011779,0.028,427.527,1.000
Net11(),20800,0.432396,0.419119,0.013276,0.021,432.061,1.000
Net11(),21000,0.077639,0.064017,0.013622,0.020,435.977,1.000
Net11(),21200,0.154125,0.138948,0.015177,0.019,439.923,1.000
Net11(),21400,0.301390,0.285539,0.015850,0.019,444.459,1.000
Net11(),21600,0.789106,0.777238,0.011868,0.024,448.358,1.000
Net11(),21800,0.330186,0.316756,0.013430,0.019,452.353,1.000
Net11(),22000,0.087810,0.075357,0.012453,0.019,456.891,1.000
Net11(),22200,0.100529,0.088481,0.012048,0.019,460.820,1.000
Net11(),22400,0.044434,0.030795,0.013639,0.031,464.809,1.000
Net11(),22600,0.341052,0.330154,0.010897,0.019,469.393,1.000
Net11(),22800,0.152226,0.140509,0.011716,0.032,473.359,1.000
Net11(),23000,0.623291,0.610828,0.012463,0.029,477.493,1.000
Net11(),23200,0.037650,0.026211,0.011439,0.019,481.896,1.000
Net11(),23400,0.072834,0.060796,0.012038,0.019,485.781,1.000
Net11(),23600,0.068843,0.057986,0.010857,0.029,490.076,1.000
Net11(),23800,0.211698,0.201981,0.009717,0.020,494.341,1.000
Net11(),24000,0.081486,0.071901,0.009584,0.034,498.348,1.000
Net11(),24200,0.069011,0.058755,0.010256,0.033,502.911,1.000
Net11(),24400,0.100091,0.089582,0.010508,0.019,506.925,1.000
Net11(),24600,0.046803,0.037616,0.009187,0.021,510.880,1.000
Net11(),24800,0.041653,0.032573,0.009080,0.019,515.480,1.000
Net11(),25000,0.033266,0.021732,0.011535,0.019,519.458,1.000
Net11(),25200,0.091149,0.080114,0.011035,0.019,523.528,1.000
Net11(),25400,0.035436,0.026791,0.008645,0.028,528.077,1.000
Net11(),25600,0.025976,0.016860,0.009116,0.019,532.045,1.000
Net11(),25800,0.062496,0.052978,0.009518,0.019,536.028,1.000
Net11(),26000,0.532065,0.521370,0.010695,0.019,540.609,1.000
Net11(),26200,0.052406,0.043542,0.008865,0.018,544.576,1.000
Net11(),26400,0.039998,0.030226,0.009772,0.019,548.519,1.000
Net11(),26600,0.045100,0.036211,0.008889,0.021,553.078,1.000
Net11(),26800,0.040216,0.031028,0.009188,0.019,557.070,1.000
Net11(),27000,0.028165,0.020164,0.008000,0.019,561.000,1.000
Net11(),27200,0.021561,0.014202,0.007359,0.020,565.494,1.000
Net11(),27400,0.042330,0.034588,0.007742,0.018,569.394,1.000
Net11(),27600,0.029430,0.022339,0.007090,0.019,573.317,1.000
Net11(),27800,0.042146,0.034356,0.007790,0.019,577.768,1.000
Net11(),28000,0.136367,0.129096,0.007271,0.018,581.635,1.000
Net11(),28200,0.085654,0.078963,0.006691,0.025,585.585,1.000
Net11(),28400,0.023635,0.016588,0.007047,0.020,590.015,1.000
Net11(),28600,0.318048,0.310076,0.007972,0.018,593.877,1.000
Net11(),28800,0.031065,0.023905,0.007159,0.028,597.873,1.000
Net11(),29000,0.172426,0.164894,0.007532,0.019,602.351,1.000
Net11(),29200,0.017521,0.010715,0.006807,0.019,606.252,1.000
Net11(),29400,0.267027,0.260276,0.006751,0.026,610.385,1.000
Net11(),29600,0.032659,0.026156,0.006503,0.019,614.659,1.000
Net11(),29800,0.050999,0.043467,0.007532,0.019,618.529,1.000
Net11(),30000,0.028116,0.021593,0.006524,0.025,622.812,1.000
Net11(),30200,0.067997,0.061468,0.006529,0.019,627.089,1.000
Net11(),30400,0.039024,0.032182,0.006842,0.019,631.025,1.000
Net11(),30600,0.020748,0.014495,0.006253,0.031,635.819,1.000
Net11(),30800,0.022343,0.016337,0.006006,0.019,639.936,1.000
Net11(),31000,0.098565,0.091091,0.007474,0.019,643.975,1.000
Net11(),31200,0.015469,0.009098,0.006371,0.019,648.562,1.000
Net11(),31400,0.021043,0.015485,0.005559,0.019,652.567,1.000
Net11(),31600,0.024897,0.017835,0.007062,0.019,656.497,1.000
Net11(),31800,0.028957,0.023105,0.005852,0.019,661.023,1.000
Net11(),32000,0.021577,0.015235,0.006342,0.019,665.105,1.000
Net11(),32200,0.022953,0.017011,0.005942,0.020,669.064,1.000
Net11(),32400,0.039996,0.033607,0.006389,0.020,673.655,1.000
Net11(),32600,0.060302,0.054169,0.006133,0.019,677.608,1.000
Net11(),32800,0.030265,0.024076,0.006189,0.019,681.571,1.000
Net11(),33000,0.014842,0.008862,0.005980,0.023,686.136,1.000
Net11(),33200,0.017411,0.011616,0.005796,0.022,690.121,1.000
Net11(),33400,0.059793,0.053983,0.005810,0.020,694.170,1.000
Net11(),33600,0.021037,0.015497,0.005540,0.018,698.631,1.000
Net11(),33800,0.046959,0.041030,0.005929,0.020,702.560,1.000
Net11(),34000,0.015577,0.009298,0.006279,0.027,706.589,1.000
Net11(),34200,0.015965,0.011218,0.004747,0.019,710.958,1.000
Net11(),34400,0.029708,0.023781,0.005927,0.019,714.929,1.000
Net11(),34600,0.016778,0.011910,0.004869,0.030,719.147,1.000
Net11(),34800,0.017670,0.012616,0.005054,0.021,723.496,1.000
Net11(),35000,0.019347,0.014014,0.005334,0.019,727.438,1.000
Net11(),35200,0.028639,0.023806,0.004834,0.028,731.682,1.000
Net11(),35400,0.012893,0.008069,0.004824,0.018,735.833,1.000
Net11(),35600,0.022591,0.017273,0.005318,0.019,739.785,1.000
Net11(),35800,0.013927,0.009203,0.004724,0.027,744.194,1.000
Net11(),36000,0.009691,0.004898,0.004793,0.019,748.188,1.000
Net11(),36200,0.010472,0.005515,0.004957,0.019,752.197,1.000
Net11(),36400,0.012799,0.007617,0.005182,0.020,756.692,1.000
Net11(),36600,0.011364,0.006381,0.004983,0.019,760.625,1.000
Net11(),36800,0.013941,0.009095,0.004846,0.019,764.586,1.000
Net11(),37000,0.015013,0.010739,0.004274,0.019,769.041,1.000
Net11(),37200,0.015078,0.010359,0.004719,0.019,772.948,1.000
Net11(),37400,0.011681,0.007553,0.004129,0.019,776.881,1.000
Net11(),37600,0.009131,0.004665,0.004466,0.022,781.409,1.000
Net11(),37800,0.018245,0.012875,0.005370,0.019,786.203,1.000
Net11(),38000,0.011644,0.006735,0.004909,0.021,790.103,1.000
Net11(),38200,0.018646,0.013674,0.004973,0.019,794.717,1.000
Net11(),38400,0.017205,0.011977,0.005228,0.019,798.615,1.000
Net11(),38600,0.008328,0.003474,0.004853,0.019,802.547,1.000
Net11(),38800,0.010154,0.005579,0.004576,0.020,807.010,1.000
Net11(),39000,0.012532,0.007861,0.004672,0.019,810.941,1.000
Net11(),39200,0.012403,0.008005,0.004398,0.027,814.941,1.000
Net11(),39400,0.007813,0.004003,0.003810,0.019,819.479,1.000
Net11(),39600,0.009690,0.005063,0.004627,0.021,823.422,1.000
Net11(),39800,0.009681,0.005598,0.004083,0.068,829.494,1.000
Net11(),40000,0.008896,0.004117,0.004779,0.019,833.538,1.000
Net11(),40200,0.010913,0.006726,0.004188,0.019,837.653,1.000
Net11(),40400,0.008374,0.004235,0.004139,0.023,842.128,1.000
Net11(),40600,0.009322,0.005014,0.004308,0.019,846.048,1.000
Net11(),40800,0.009235,0.005243,0.003992,0.019,849.988,1.000
Net11(),41000,0.009187,0.004565,0.004623,0.019,854.446,1.000
Net11(),41200,0.007841,0.003644,0.004197,0.020,858.362,1.000
Net11(),41400,0.009531,0.005563,0.003968,0.033,862.365,1.000
Net11(),41600,0.007295,0.003282,0.004013,0.019,866.943,1.000
Net11(),41800,0.006816,0.002804,0.004012,0.019,870.977,1.000
Net11(),42000,0.006988,0.003444,0.003544,0.019,874.994,1.000
Net11(),42200,0.007237,0.003191,0.004046,0.019,879.546,1.000
Net11(),42400,0.009588,0.005618,0.003970,0.019,883.556,1.000
Net11(),42600,0.007534,0.003649,0.003885,0.024,887.876,1.000
Net11(),42800,0.006754,0.002286,0.004467,0.019,892.317,1.000
Net11(),43000,0.007253,0.003462,0.003792,0.019,896.283,1.000
Net11(),43200,0.007247,0.003004,0.004244,0.029,900.521,1.000
Net11(),43400,0.006946,0.002792,0.004154,0.019,904.859,1.000
Net11(),43600,0.009225,0.004967,0.004258,0.020,908.794,1.000
Net11(),43800,0.006411,0.002591,0.003820,0.033,913.111,1.000
Net11(),44000,0.006040,0.002666,0.003374,0.020,917.282,1.000
Net11(),44200,0.006865,0.002681,0.004184,0.020,921.208,1.000
Net11(),44400,0.006813,0.002314,0.004499,0.027,925.746,1.000
Net11(),44600,0.006323,0.002550,0.003773,0.019,929.667,1.000
Net11(),44800,0.006549,0.002527,0.004022,0.019,933.614,1.000
Net11(),45000,0.006481,0.002106,0.004375,0.022,938.135,1.000
Net11(),45200,0.007165,0.002664,0.004501,0.019,942.091,1.000
Net11(),45400,0.007068,0.003353,0.003715,0.019,946.041,1.000
Net11(),45600,0.005730,0.002065,0.003665,0.021,950.567,1.000
Net11(),45800,0.006266,0.003021,0.003245,0.020,954.507,1.000
Net11(),46000,0.006322,0.002516,0.003806,0.019,958.458,1.000
Net11(),46200,0.006066,0.002134,0.003932,0.020,963.050,1.000
Net11(),46400,0.005783,0.002341,0.003442,0.020,966.944,1.000
Net11(),46600,0.007204,0.002839,0.004365,0.019,970.861,1.000
Net11(),46800,0.005797,0.002144,0.003652,0.018,975.351,1.000
Net11(),47000,0.005871,0.001958,0.003913,0.019,979.282,1.000
Net11(),47200,0.005907,0.001842,0.004065,0.021,983.214,1.000
Net11(),47400,0.005638,0.001925,0.003713,0.020,987.720,1.000
Net11(),47600,0.005407,0.001818,0.003589,0.019,991.664,1.000
Net11(),47800,0.005793,0.001880,0.003913,0.024,995.620,1.000
Net11(),48000,0.008013,0.003972,0.004041,0.023,1000.133,1.000
Net11(),48200,0.005740,0.001810,0.003930,0.020,1004.104,1.000
Net11(),48400,0.006035,0.002355,0.003679,0.020,1008.033,1.000
Net11(),48600,0.005304,0.001741,0.003563,0.019,1012.655,1.000
Net11(),48800,0.005907,0.001986,0.003921,0.019,1016.614,1.000
Net11(),49000,0.005573,0.001753,0.003820,0.026,1020.733,1.000
Net11(),49200,0.005740,0.001863,0.003876,0.019,1025.178,1.000
Net11(),49400,0.006017,0.002241,0.003776,0.019,1029.090,1.000
Net11(),49600,0.005425,0.001789,0.003636,0.023,1033.311,1.000
Net11(),49800,0.005242,0.001652,0.003591,0.019,1037.566,1.000
Net11(),50000,0.005763,0.001835,0.003927,0.019,1041.483,1.000
