net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net3(),1,2464.476318,2464.471680,0.004526,0.704,0.704,1.000
Net3(),200,538.765747,519.428955,19.336817,0.009,3.163,1.000
Net3(),400,101.399979,87.358910,14.041068,0.009,5.151,1.000
Net3(),600,43.681183,33.898964,9.782221,0.010,7.140,1.000
Net3(),800,17.435816,11.095880,6.339936,0.010,9.343,1.000
Net3(),1000,9.453550,5.795986,3.657564,0.009,11.321,1.000
Net3(),1200,6.601513,4.266449,2.335064,0.014,13.470,1.000
Net3(),1400,5.439261,3.329638,2.109623,0.009,15.886,1.000
Net3(),1600,4.689006,2.554260,2.134745,0.010,17.877,1.000
Net3(),1800,3.029438,1.484145,1.545294,0.010,19.867,1.000
Net3(),2000,3.396558,1.893208,1.503350,0.010,21.877,1.000
Net3(),2200,2.652844,1.335573,1.317271,0.010,23.837,1.000
Net3(),2400,2.558624,1.431772,1.126852,0.011,26.067,1.000
Net3(),2600,1.970086,0.962187,1.007899,0.011,28.295,1.000
Net3(),2800,2.175232,1.344023,0.831209,0.009,30.239,1.000
Net3(),3000,1.703296,0.868784,0.834512,0.009,32.242,1.000
Net3(),3200,1.772075,1.017637,0.754438,0.009,34.204,1.000
Net3(),3400,1.913800,1.185094,0.728706,0.010,36.157,1.000
Net3(),3600,1.404086,0.765612,0.638474,0.012,38.430,1.000
Net3(),3800,1.058080,0.447083,0.610997,0.009,40.640,1.000
Net3(),4000,1.121815,0.612097,0.509718,0.009,42.602,1.000
Net3(),4200,0.847333,0.399397,0.447937,0.010,44.546,1.000
Net3(),4400,2.158102,1.653684,0.504418,0.010,46.530,1.000
Net3(),4600,0.980047,0.540281,0.439766,0.010,48.518,1.000
Net3(),4800,0.824652,0.461845,0.362806,0.012,50.858,1.000
Net3(),5000,1.840434,1.481590,0.358844,0.009,52.951,1.000
Net3(),5200,1.020125,0.680602,0.339522,0.009,54.878,1.000
Net3(),5400,0.644387,0.293639,0.350748,0.010,56.825,1.000
Net3(),5600,0.763257,0.446687,0.316569,0.009,58.767,1.000
Net3(),5800,0.750846,0.472892,0.277954,0.010,60.732,1.000
Net3(),6000,1.025823,0.767361,0.258462,0.014,63.151,1.000
Net3(),6200,0.529621,0.288566,0.241055,0.009,65.479,1.000
Net3(),6400,0.479668,0.261198,0.218470,0.009,67.395,1.000
Net3(),6600,0.972911,0.758938,0.213974,0.013,69.383,1.000
Net3(),6800,1.255171,1.030005,0.225166,0.009,71.595,1.000
Net3(),7000,0.457905,0.195785,0.262120,0.012,74.338,1.000
Net3(),7200,2.030484,1.754933,0.275551,0.010,76.587,1.000
Net3(),7400,0.496793,0.292899,0.203894,0.011,78.542,1.000
Net3(),7600,0.446646,0.267058,0.179588,0.015,80.480,1.000
Net3(),7800,0.514950,0.336083,0.178867,0.009,82.424,1.000
Net3(),8000,0.486848,0.310823,0.176025,0.011,84.383,1.000
Net3(),8200,0.734364,0.521854,0.212511,0.011,86.618,1.000
Net3(),8400,0.675184,0.492954,0.182230,0.010,88.834,1.000
Net3(),8600,0.426003,0.263986,0.162018,0.010,90.766,1.000
Net3(),8800,0.476166,0.327056,0.149110,0.010,92.718,1.000
Net3(),9000,1.089090,0.926473,0.162617,0.010,94.670,1.000
Net3(),9200,0.469298,0.294616,0.174682,0.009,96.617,1.000
Net3(),9400,0.413947,0.266826,0.147121,0.015,98.893,1.000
Net3(),9600,0.401502,0.276844,0.124658,0.011,101.075,1.000
Net3(),9800,1.821841,1.680547,0.141294,0.010,103.066,1.000
Net3(),10000,0.748469,0.585549,0.162920,0.010,105.042,1.000
Net3(),10200,0.847669,0.716915,0.130753,0.010,107.026,1.000
Net3(),10400,0.618872,0.452261,0.166611,0.009,109.003,1.000
Net3(),10600,0.709675,0.585656,0.124019,0.013,111.400,1.000
Net3(),10800,0.405101,0.294191,0.110910,0.009,113.424,1.000
Net3(),11000,0.484403,0.355329,0.129074,0.010,115.368,1.000
Net3(),11200,0.966763,0.815299,0.151464,0.010,117.353,1.000
Net3(),11400,0.614039,0.511514,0.102524,0.010,119.267,1.000
Net3(),11600,0.283687,0.151729,0.131957,0.009,121.204,1.000
Net3(),11800,0.268365,0.160061,0.108304,0.009,123.627,1.000
Net3(),12000,0.391328,0.262127,0.129201,0.010,125.595,1.000
Net3(),12200,0.202025,0.088931,0.113093,0.009,127.561,1.000
Net3(),12400,0.716448,0.573160,0.143288,0.010,129.504,1.000
Net3(),12600,0.328423,0.236447,0.091976,0.014,131.480,1.000
Net3(),12800,0.391423,0.293197,0.098227,0.009,133.443,1.000
Net3(),13000,0.266087,0.163961,0.102127,0.009,135.902,1.000
Net3(),13200,0.762341,0.664167,0.098174,0.010,137.865,1.000
Net3(),13400,0.495997,0.403439,0.092558,0.010,139.810,1.000
Net3(),13600,0.206978,0.106511,0.100467,0.010,141.775,1.000
Net3(),13800,0.273072,0.183999,0.089074,0.009,143.704,1.000
Net3(),14000,0.188088,0.108094,0.079994,0.010,145.609,1.000
Net3(),14200,0.236740,0.146084,0.090657,0.009,148.067,1.000
Net3(),14400,1.223453,1.140155,0.083298,0.009,149.981,1.000
Net3(),14600,0.205383,0.107345,0.098038,0.010,151.939,1.000
Net3(),14800,0.207922,0.129357,0.078565,0.009,153.877,1.000
Net3(),15000,0.155796,0.077172,0.078625,0.011,155.802,1.000
Net3(),15200,0.235860,0.156964,0.078895,0.014,157.755,1.000
Net3(),15400,0.159451,0.094698,0.064754,0.010,160.137,1.000
Net3(),15600,0.226146,0.152583,0.073564,0.010,162.114,1.000
Net3(),15800,0.161669,0.088968,0.072701,0.009,164.076,1.000
Net3(),16000,0.334636,0.245191,0.089445,0.009,166.033,1.000
Net3(),16200,0.760353,0.696253,0.064100,0.009,167.980,1.000
Net3(),16400,0.221384,0.148225,0.073158,0.012,170.034,1.000
Net3(),16600,0.162529,0.101596,0.060933,0.009,172.364,1.000
Net3(),16800,0.157070,0.085840,0.071230,0.009,174.284,1.000
Net3(),17000,0.154926,0.082110,0.072816,0.009,176.239,1.000
Net3(),17200,0.178992,0.104456,0.074536,0.009,178.178,1.000
Net3(),17400,0.157101,0.099276,0.057825,0.009,180.094,1.000
Net3(),17600,0.558123,0.497673,0.060449,0.013,182.168,1.000
Net3(),17800,0.260418,0.207682,0.052736,0.009,184.478,1.000
Net3(),18000,0.139322,0.089406,0.049916,0.009,186.406,1.000
Net3(),18200,0.241569,0.184656,0.056913,0.009,188.360,1.000
Net3(),18400,0.295504,0.241524,0.053981,0.009,190.328,1.000
Net3(),18600,0.113126,0.071825,0.041302,0.009,192.307,1.000
Net3(),18800,0.151407,0.097688,0.053720,0.012,194.442,1.000
Net3(),19000,0.315950,0.262288,0.053662,0.009,196.742,1.000
Net3(),19200,0.149496,0.094098,0.055399,0.009,198.662,1.000
Net3(),19400,0.109379,0.057093,0.052286,0.009,200.587,1.000
Net3(),19600,0.108092,0.051164,0.056928,0.010,202.505,1.000
Net3(),19800,0.194041,0.131575,0.062465,0.009,204.458,1.000
Net3(),20000,0.112697,0.059994,0.052703,0.011,206.530,1.000
Net3(),20200,0.111665,0.061295,0.050371,0.009,208.768,1.000
Net3(),20400,0.133676,0.091868,0.041808,0.010,210.680,1.000
Net3(),20600,0.120114,0.072656,0.047458,0.009,212.605,1.000
Net3(),20800,0.141122,0.085172,0.055950,0.009,214.502,1.000
Net3(),21000,0.140575,0.096693,0.043882,0.009,216.423,1.000
Net3(),21200,0.113741,0.068008,0.045733,0.012,218.500,1.000
Net3(),21400,0.130255,0.093183,0.037072,0.009,220.766,1.000
Net3(),21600,0.116159,0.072592,0.043568,0.009,222.683,1.000
Net3(),21800,0.092330,0.047966,0.044364,0.009,224.591,1.000
Net3(),22000,0.131700,0.090832,0.040867,0.009,226.503,1.000
Net3(),22200,0.114190,0.078163,0.036027,0.009,228.415,1.000
Net3(),22400,0.120027,0.077960,0.042067,0.012,230.502,1.000
Net3(),22600,0.115712,0.082057,0.033655,0.010,232.736,1.000
Net3(),22800,0.161552,0.125805,0.035747,0.009,234.649,1.000
Net3(),23000,0.072441,0.039709,0.032732,0.010,236.896,1.000
Net3(),23200,0.096661,0.062260,0.034401,0.009,238.854,1.000
Net3(),23400,0.107427,0.065605,0.041822,0.009,240.813,1.000
Net3(),23600,0.106882,0.071860,0.035022,0.011,242.998,1.000
Net3(),23800,0.091042,0.056794,0.034248,0.009,245.158,1.000
Net3(),24000,0.106103,0.071946,0.034157,0.009,247.052,1.000
Net3(),24200,0.076911,0.041157,0.035754,0.009,248.983,1.000
Net3(),24400,0.107447,0.071749,0.035698,0.009,250.879,1.000
Net3(),24600,0.106960,0.076656,0.030304,0.009,252.866,1.000
Net3(),24800,0.131395,0.092369,0.039025,0.011,255.039,1.000
Net3(),25000,0.090327,0.051511,0.038816,0.011,257.217,1.000
Net3(),25200,0.079206,0.049581,0.029625,0.009,259.136,1.000
Net3(),25400,0.078227,0.051951,0.026276,0.009,261.084,1.000
Net3(),25600,0.073754,0.044192,0.029562,0.009,263.031,1.000
Net3(),25800,0.081460,0.048005,0.033455,0.009,264.982,1.000
Net3(),26000,0.093614,0.063064,0.030550,0.014,267.226,1.000
Net3(),26200,0.070894,0.038697,0.032197,0.012,269.380,1.000
Net3(),26400,0.072640,0.045880,0.026760,0.010,271.300,1.000
Net3(),26600,0.082159,0.050402,0.031757,0.009,273.221,1.000
Net3(),26800,0.060703,0.032160,0.028543,0.009,275.177,1.000
Net3(),27000,0.067652,0.036712,0.030940,0.009,277.084,1.000
Net3(),27200,0.077476,0.051113,0.026363,0.013,279.310,1.000
Net3(),27400,0.091887,0.061750,0.030138,0.011,281.474,1.000
Net3(),27600,0.075668,0.052116,0.023552,0.009,283.413,1.000
Net3(),27800,0.125312,0.098370,0.026942,0.009,285.338,1.000
Net3(),28000,0.082443,0.055121,0.027323,0.009,287.260,1.000
Net3(),28200,0.056628,0.034597,0.022032,0.009,289.164,1.000
Net3(),28400,0.056555,0.030987,0.025568,0.013,291.403,1.000
Net3(),28600,0.083337,0.059607,0.023731,0.009,293.522,1.000
Net3(),28800,0.073494,0.045519,0.027975,0.010,295.479,1.000
Net3(),29000,0.056278,0.029996,0.026281,0.010,297.410,1.000
Net3(),29200,0.124365,0.099590,0.024775,0.009,299.326,1.000
Net3(),29400,0.226142,0.200139,0.026003,0.010,301.256,1.000
Net3(),29600,0.060075,0.038702,0.021373,0.015,303.542,1.000
Net3(),29800,0.060726,0.036785,0.023941,0.009,305.596,1.000
Net3(),30000,0.051033,0.028693,0.022341,0.009,307.534,1.000
Net3(),30200,0.053994,0.031798,0.022196,0.010,309.434,1.000
Net3(),30400,0.072761,0.043180,0.029581,0.009,311.339,1.000
Net3(),30600,0.072195,0.047938,0.024257,0.010,313.250,1.000
Net3(),30800,0.066039,0.042292,0.023746,0.014,315.536,1.000
Net3(),31000,0.058329,0.037267,0.021062,0.016,317.625,1.000
Net3(),31200,0.075053,0.054279,0.020774,0.009,319.522,1.000
Net3(),31400,0.047116,0.025710,0.021406,0.010,321.439,1.000
Net3(),31600,0.055571,0.028527,0.027044,0.009,323.333,1.000
Net3(),31800,0.069684,0.045722,0.023962,0.010,325.257,1.000
Net3(),32000,0.065785,0.044723,0.021062,0.014,327.528,1.000
Net3(),32200,0.050017,0.025376,0.024641,0.009,329.619,1.000
Net3(),32400,0.036911,0.018767,0.018144,0.009,331.569,1.000
Net3(),32600,0.056655,0.035352,0.021302,0.009,333.487,1.000
Net3(),32800,0.045001,0.027485,0.017516,0.009,335.422,1.000
Net3(),33000,0.039338,0.021689,0.017649,0.009,337.355,1.000
Net3(),33200,0.060555,0.038735,0.021820,0.012,339.644,1.000
Net3(),33400,0.039447,0.024115,0.015333,0.009,341.707,1.000
Net3(),33600,0.043305,0.021989,0.021316,0.010,343.672,1.000
Net3(),33800,0.042884,0.028485,0.014398,0.009,345.583,1.000
Net3(),34000,0.042337,0.020802,0.021535,0.009,347.498,1.000
Net3(),34200,0.045093,0.025025,0.020068,0.009,349.407,1.000
Net3(),34400,0.032283,0.016594,0.015689,0.011,351.675,1.000
Net3(),34600,0.048689,0.032143,0.016546,0.009,353.727,1.000
Net3(),34800,0.042489,0.023533,0.018956,0.009,355.637,1.000
Net3(),35000,0.051936,0.034478,0.017458,0.009,357.553,1.000
Net3(),35200,0.043322,0.023156,0.020166,0.009,359.477,1.000
Net3(),35400,0.040697,0.024891,0.015807,0.010,361.424,1.000
Net3(),35600,0.035370,0.015635,0.019735,0.011,363.715,1.000
Net3(),35800,0.041724,0.025213,0.016511,0.009,365.789,1.000
Net3(),36000,0.035467,0.016039,0.019427,0.010,367.718,1.000
Net3(),36200,0.039250,0.018942,0.020308,0.009,369.622,1.000
