net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net1,1,0.174515,0.034613,0.186535,0.009,0.009,0.750
Net1,200,0.190407,0.043272,0.196180,0.009,1.727,0.750
Net1,400,0.168163,0.042930,0.166978,0.009,3.450,0.750
Net1,600,0.152326,0.038738,0.151451,0.011,5.609,0.750
Net1,800,0.162052,0.051929,0.146830,0.008,7.450,0.750
Net1,1000,0.190824,0.087184,0.138187,0.008,9.142,0.750
Net1,1200,0.146834,0.052802,0.125376,0.008,10.851,0.750
Net1,1400,0.152620,0.066244,0.115168,0.008,12.613,0.750
Net1,1600,0.139284,0.050141,0.118858,0.009,14.345,0.750
Net1,1800,0.133647,0.057301,0.101795,0.013,16.156,0.750
Net1,2000,0.134898,0.060916,0.098642,0.008,18.312,0.750
Net1,2200,0.124318,0.056100,0.090958,0.009,20.024,0.750
Net1,2400,0.148453,0.081018,0.089912,0.010,21.781,0.750
Net1,2600,0.172930,0.110997,0.082577,0.009,23.581,0.750
Net1,2800,0.124749,0.061130,0.084825,0.008,25.323,0.750
Net1,3000,0.092545,0.035399,0.076195,0.009,27.093,0.750
Net1,3200,0.106951,0.053258,0.071591,0.010,29.262,0.750
Net1,3400,0.099639,0.045806,0.071778,0.008,31.262,0.750
Net1,3600,0.117320,0.058781,0.078052,0.008,33.036,0.750
Net1,3800,0.121507,0.069501,0.069341,0.008,34.895,0.750
Net1,4000,0.089433,0.035075,0.072478,0.009,36.815,0.750
Net1,4200,0.089285,0.037609,0.068900,0.008,38.634,0.750
Net1,4400,0.092276,0.042471,0.066407,0.011,40.483,0.750
Net1,4600,0.074984,0.028185,0.062398,0.010,42.738,0.750
Net1,4800,0.096141,0.047093,0.065397,0.009,44.526,0.750
Net1,5000,0.124208,0.077114,0.062792,0.009,46.256,0.750
Net1,5200,0.094338,0.048618,0.060960,0.008,48.022,0.750
Net1,5400,0.100819,0.056966,0.058470,0.009,49.795,0.750
Net1,5600,0.066925,0.024539,0.056515,0.015,51.543,0.750
Net1,5800,0.077157,0.034030,0.057503,0.009,53.540,0.750
Net1,6000,0.065106,0.024329,0.054370,0.008,55.526,0.750
Net1,6200,0.068491,0.028791,0.052933,0.008,57.280,0.750
Net1,6400,0.064038,0.023674,0.053819,0.008,59.026,0.750
Net1,6600,0.069994,0.034728,0.047021,0.009,60.730,0.750
Net1,6800,0.062448,0.022020,0.053904,0.008,62.450,0.750
Net1,7000,0.067437,0.029652,0.050380,0.008,64.249,0.750
Net1,7200,0.061351,0.023100,0.051001,0.014,66.524,0.750
Net1,7400,0.060658,0.022151,0.051342,0.011,68.278,0.750
Net1,7600,0.063996,0.028694,0.047069,0.009,70.016,0.750
Net1,7800,0.049544,0.017803,0.042322,0.009,71.818,0.750
Net1,8000,0.051516,0.019454,0.042749,0.009,73.615,0.750
Net1,8200,0.056103,0.025538,0.040753,0.009,75.374,0.750
Net1,8400,0.051172,0.016466,0.046274,0.010,77.337,0.750
Net1,8600,0.059048,0.024584,0.045952,0.008,79.454,0.750
Net1,8800,0.048375,0.017607,0.041024,0.009,81.244,0.750
Net1,9000,0.046914,0.016465,0.040598,0.008,83.012,0.750
Net1,9200,0.056147,0.026142,0.040008,0.008,84.752,0.750
Net1,9400,0.048783,0.019220,0.039418,0.009,86.536,0.750
Net1,9600,0.056114,0.026613,0.039335,0.009,88.299,0.750
Net1,9800,0.047911,0.022029,0.034509,0.012,90.498,0.750
Net1,10000,0.045030,0.015288,0.039656,0.009,92.376,0.750
Net1,10200,0.043355,0.016125,0.036307,0.009,94.169,0.750
Net1,10400,0.045426,0.020058,0.033824,0.009,95.954,0.750
Net1,10600,0.041822,0.013778,0.037392,0.009,97.692,0.750
